Survived,Age,SibSp,Parch,Fare,Deck,Relatives,Age_Class,Female,Male,Master,Miss,Mr,Mrs,Class 1,Class 2,Class 3,EmbarkC,EmbarkQ,EmbarkS
0,0.2711736617240512,0.125,0.0,0.014151057562208049,0.0,0.1,0.2943730776189615,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1,0.4722292033174164,0.125,0.0,0.13913573538264068,0.375,0.1,0.1677220915505699,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
1,0.32143754712239253,0.0,0.0,0.015468569817999833,0.0,0.0,0.3486520716482721,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1,0.4345312892686604,0.125,0.0,0.10364429745562033,0.375,0.1,0.15415234304324227,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0,0.4345312892686604,0.0,0.0,0.015712553569072387,0.0,0.0,0.4707798082142211,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,0.36792055349407915,0.0,0.0,0.01650950209357577,0.0,0.0,0.39884816781787796,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,0.6732847449107816,0.0,0.0,0.10122885832000206,0.625,0.0,0.2400940835896508,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,0.01985423473234481,0.375,0.16666666666666666,0.04113566043083236,0.0,0.4,0.022978107472408176,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1,0.33400351847197784,0.0,0.3333333333333333,0.021730754366528396,0.0,0.2,0.3622218201555998,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1,0.17064589092736868,0.125,0.0,0.058694292654020104,0.0,0.1,0.12248959652614438,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,0.04498617743151546,0.125,0.16666666666666666,0.03259622914329302,0.875,0.2,0.050117604487063504,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1,0.723548630309123,0.0,0.0,0.051822148727810165,0.375,0.0,0.258187081599421,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,0.24604171902488062,0.0,0.0,0.015712553569072387,0.0,0.0,0.26723358060430613,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,0.4847951746670017,0.125,0.8333333333333333,0.06104473451835265,0.0,0.6000000000000001,0.5250588022435317,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,0.17064589092736868,0.0,0.0,0.015330377421392339,0.0,0.0,0.18581508956034015,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1,0.685850716260367,0.0,0.0,0.03122992013728673,0.0,0.0,0.49339605572643386,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0,0.01985423473234481,0.5,0.16666666666666666,0.05684821399990475,0.0,0.5,0.022978107472408176,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1,0.36792055349407915,0.0,0.0,0.025374310111545468,0.0,0.0,0.2645116486978363,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,0.38426740387031916,0.125,0.0,0.03513366015444757,0.0,0.1,0.4165008141849104,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1,0.36792055349407915,0.0,0.0,0.014102260811993537,0.0,0.0,0.39884816781787796,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0,0.4345312892686604,0.0,0.0,0.050748620223090936,0.0,0.0,0.3124660756287317,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,0.4219653179190751,0.0,0.0,0.025374310111545468,0.5,0.0,0.30341957662384655,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,0.18321186227695402,0.0,0.0,0.015671954672893913,0.0,0.0,0.1993848380676678,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1,0.34656948982156316,0.0,0.0,0.06929138530460494,0.125,0.0,0.12248959652614438,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,0.09525006282985675,0.375,0.16666666666666666,0.04113566043083236,0.0,0.4,0.10439659851637416,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1,0.4722292033174164,0.125,0.8333333333333333,0.06126431989431795,0.0,0.6000000000000001,0.5114890537362041,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
0,0.36792055349407915,0.0,0.0,0.014102260811993537,0.0,0.0,0.39884816781787796,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0,0.2334757476752953,0.375,0.3333333333333333,0.5133418122566507,0.375,0.5,0.08178035100416138,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
